Day,Date,City,Kind,#,Activity,Start,End,Min,Travel to next (min),Capped,Now start,Now min,Suggested,Note
6,2026-09-07,Shanghai,meal,1,Breakfast,09:00,09:31,31,29,,09:00,31,35,
6,2026-09-07,Shanghai,sight,2,Shanghai Museum East,10:00,12:46,166,22,,10:00,166,180,
6,2026-09-07,Shanghai,meal,3,Lunch,13:08,14:15,67,13,,13:08,67,60,
6,2026-09-07,Shanghai,sight,4,Shanghai Tower base,14:28,15:14,46,0,,14:28,46,30,
6,2026-09-07,Shanghai,sight,5,World Financial Center,15:14,16:00,46,0,,15:14,46,30,
6,2026-09-07,Shanghai,sight,6,Jin Mao Tower,16:00,16:57,57,0,,16:00,57,30,
6,2026-09-07,Shanghai,sight,7,Oriental Pearl Tower,16:57,17:20,23,40,,16:57,23,30,
6,2026-09-07,Shanghai,meal,8,Dinner,18:00,20:09,129,6,,18:00,129,90,
6,2026-09-07,Shanghai,sight,9,Pudong promenade,20:15,23:09,174,1,,20:15,174,45,
6,2026-09-07,Shanghai,hub,10,Fly from PVG,23:10,02:10,180,,,23:10,180,180,
6,2026-09-07,Shanghai,endpoint,11,Fly out,02:10 +1,,,,,,,,
